type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),eos,name,desc
T,2022-01-21 08:31:33,48.283224776,8.838126797,540.0,,,0.000,,,1_Depot-Fahrt2225-Bhf,
T,2022-01-21 08:31:36,48.283250353,8.838138521,539.6,3.6,-10.3,0.003,2.97,,,
T,2022-01-21 08:31:38,48.283271344,8.838083872,539.8,8.4,3.2,0.008,4.68,,,
T,2022-01-21 08:31:39,48.283291735,8.838041704,540.0,13.9,6.2,0.012,3.86,,,
T,2022-01-21 08:31:40,48.283315971,8.837990021,540.2,16.9,4.5,0.016,4.69,,,
T,2022-01-21 08:31:41,48.283333907,8.837948471,540.3,13.2,0.6,0.020,3.67,,,
T,2022-01-21 08:31:42,48.283348282,8.837906377,540.3,12.6,-0.0,0.023,3.51,,,
T,2022-01-21 08:31:43,48.283364183,8.837872197,540.2,11.1,-1.4,0.026,3.09,,,
T,2022-01-21 08:31:44,48.283383496,8.837837753,540.2,12.0,-0.8,0.030,3.34,,,
T,2022-01-21 08:31:45,48.283411657,8.837788824,540.2,17.3,-0.1,0.035,4.80,,,
T,2022-01-21 08:31:46,48.283434524,8.837741654,540.2,15.6,1.2,0.039,4.33,,,
T,2022-01-21 08:31:47,48.283479131,8.837724182,540.3,18.5,0.5,0.044,5.13,,,
T,2022-01-21 08:31:48,48.283526763,8.837713031,540.3,19.3,0.0,0.049,5.36,,,
T,2022-01-21 08:31:49,48.283565867,8.837695570,540.3,16.3,0.0,0.054,4.54,,,
T,2022-01-21 08:31:50,48.283614896,8.837703904,540.3,19.8,0.0,0.059,5.49,,,
T,2022-01-21 08:31:51,48.283674741,8.837712062,540.3,24.1,0.0,0.066,6.68,,,
T,2022-01-21 08:31:52,48.283717352,8.837767308,540.3,22.6,0.0,0.072,6.27,,,
T,2022-01-21 08:31:53,48.283765184,8.837800641,540.3,21.1,0.0,0.078,5.87,,,
T,2022-01-21 08:31:54,48.283792633,8.837867315,540.2,20.9,-1.2,0.084,5.81,,,
T,2022-01-21 08:31:55,48.283799772,8.837951446,540.1,22.7,-2.3,0.090,6.29,,,
T,2022-01-21 08:31:56,48.283779831,8.838063024,539.9,30.9,-2.1,0.099,8.57,,,
T,2022-01-21 08:31:57,48.283753220,8.838169344,539.5,30.3,-4.4,0.107,8.43,,,
T,2022-01-21 08:31:58,48.283727412,8.838286482,539.3,33.0,-2.3,0.117,9.15,,,
T,2022-01-21 08:31:59,48.283705405,8.838421175,539.1,37.0,-1.9,0.127,10.29,,,
T,2022-01-21 08:32:00,48.283683076,8.838558200,538.7,37.7,-3.5,0.137,10.47,,,
T,2022-01-21 08:32:01,48.283659454,8.838694447,538.4,37.6,-3.6,0.148,10.45,,,
T,2022-01-21 08:32:02,48.283636889,8.838830950,538.2,37.6,-1.2,0.158,10.44,,,
T,2022-01-21 08:32:03,48.283594498,8.838965396,538.2,39.7,-0.1,0.169,11.04,,,
T,2022-01-21 08:32:04,48.283568421,8.839099848,537.7,37.4,-5.4,0.180,10.39,,,
T,2022-01-21 08:32:05,48.283541639,8.839237935,537.2,38.4,-4.8,0.190,10.67,,,
T,2022-01-21 08:32:06,48.283514331,8.839378737,536.8,39.2,-3.1,0.201,10.88,,,
T,2022-01-21 08:32:07,48.283486635,8.839521539,536.6,39.7,-1.6,0.212,11.04,,,
T,2022-01-21 08:32:08,48.283454158,8.839662144,536.4,39.8,-2.1,0.223,11.04,,,
T,2022-01-21 08:32:09,48.283422803,8.839801525,536.1,39.3,-3.2,0.234,10.92,,,
T,2022-01-21 08:32:10,48.283391693,8.839938758,535.7,38.7,-3.0,0.245,10.76,,,
T,2022-01-21 08:32:11,48.283360889,8.840074928,535.5,38.4,-2.3,0.256,10.67,,,
T,2022-01-21 08:32:12,48.283330545,8.840209746,535.3,38.0,-1.9,0.266,10.56,,,
T,2022-01-21 08:32:13,48.283310236,8.840345878,535.1,37.3,-1.5,0.276,10.35,,,
T,2022-01-21 08:32:14,48.283294517,8.840455086,534.9,29.8,-2.4,0.285,8.29,,,
T,2022-01-21 08:32:15,48.283281908,8.840542689,534.7,23.9,-3.9,0.291,6.65,,,
T,2022-01-21 08:32:16,48.283282994,8.840620936,534.4,20.9,-4.8,0.297,5.81,,,
T,2022-01-21 08:32:17,48.283268695,8.840687488,534.2,18.7,-4.5,0.302,5.19,,,
T,2022-01-21 08:32:18,48.283253589,8.840746383,534.0,16.9,-4.1,0.307,4.68,,,
T,2022-01-21 08:32:19,48.283235312,8.840790855,533.8,14.0,-3.9,0.311,3.88,,,
T,2022-01-21 08:32:20,48.283221877,8.840830806,533.7,12.0,-3.6,0.314,3.32,,,
T,2022-01-21 08:32:21,48.283212793,8.840869186,533.6,10.9,-3.1,0.317,3.02,,,
T,2022-01-21 08:32:22,48.283207140,8.840907666,533.5,10.5,-2.9,0.320,2.92,,,
T,2022-01-21 08:32:23,48.283202576,8.840944222,533.4,9.9,-3.1,0.323,2.76,,,
T,2022-01-21 08:32:24,48.283198256,8.840977758,533.4,9.1,-3.4,0.326,2.53,,,
T,2022-01-21 08:32:25,48.283206198,8.841009567,533.3,9.1,-3.5,0.328,2.52,,,
T,2022-01-21 08:32:27,48.283192216,8.841031550,533.1,4.1,-7.4,0.330,2.25,,,
T,2022-01-21 08:32:30,48.283204794,8.841051131,532.9,2.4,-10.9,0.332,2.02,,,
T,2022-01-21 08:32:31,48.283197575,8.841076059,532.8,7.3,-3.3,0.334,2.02,,,
T,2022-01-21 08:32:32,48.283195854,8.841114865,532.8,10.4,-2.3,0.337,2.89,,,
T,2022-01-21 08:32:33,48.283227607,8.841145030,532.7,15.1,-1.7,0.341,4.18,,,
T,2022-01-21 08:32:34,48.283278642,8.841141077,532.6,20.5,-1.2,0.347,5.68,,,
T,2022-01-21 08:32:35,48.283334405,8.841130147,532.6,22.5,-0.9,0.353,6.25,,,
T,2022-01-21 08:32:36,48.283396850,8.841149547,532.5,25.5,-0.7,0.360,7.09,,,
T,2022-01-21 08:32:37,48.283462702,8.841134715,532.5,26.7,-0.6,0.368,7.40,,,
T,2022-01-21 08:32:38,48.283532292,8.841136483,532.4,27.9,-0.5,0.376,7.74,,,
T,2022-01-21 08:32:39,48.283600931,8.841138760,532.4,27.5,-0.5,0.383,7.63,,,
T,2022-01-21 08:32:40,48.283662643,8.841147976,532.3,24.8,-0.5,0.390,6.90,,,
T,2022-01-21 08:32:41,48.283716222,8.841155327,532.3,21.5,-0.5,0.396,5.98,,,
T,2022-01-21 08:32:42,48.283762539,8.841161016,532.3,18.6,-0.5,0.401,5.17,,,
T,2022-01-21 08:32:43,48.283805614,8.841159727,532.3,17.2,-0.5,0.406,4.79,,,
T,2022-01-21 08:32:44,48.283843633,8.841161227,532.2,15.2,-0.5,0.410,4.23,,,
T,2022-01-21 08:32:45,48.283878102,8.841177145,532.2,14.4,-0.5,0.414,4.01,,,
T,2022-01-21 08:32:46,48.283903526,8.841234929,532.2,18.5,-0.3,0.419,5.14,,,
T,2022-01-21 08:32:47,48.283912570,8.841327377,532.2,25.0,-0.1,0.426,6.93,,,
T,2022-01-21 08:32:48,48.283908066,8.841429226,532.2,27.3,0.0,0.434,7.58,,,
T,2022-01-21 08:32:49,48.283907788,8.841545514,532.2,31.1,-0.3,0.443,8.63,,,
T,2022-01-21 08:32:50,48.283913241,8.841684972,532.1,37.3,-1.1,0.453,10.37,,,
T,2022-01-21 08:32:51,48.283924197,8.841845523,531.9,43.1,-1.6,0.465,11.98,,,
T,2022-01-21 08:32:52,48.283933680,8.842026195,531.7,48.4,-1.4,0.478,13.45,,,
T,2022-01-21 08:32:53,48.283949197,8.842218203,531.5,51.7,-1.6,0.493,14.35,,,
T,2022-01-21 08:32:54,48.283960619,8.842418341,531.1,53.7,-2.1,0.508,14.91,,,
T,2022-01-21 08:32:55,48.283954928,8.842627218,530.8,55.9,-2.1,0.523,15.51,,,
T,2022-01-21 08:32:56,48.283960899,8.842840594,530.5,57.1,-1.9,0.539,15.85,,,
T,2022-01-21 08:32:57,48.283976303,8.843056980,530.2,58.1,-1.9,0.555,16.15,,,
T,2022-01-21 08:32:58,48.283989648,8.843277025,529.8,59.0,-2.3,0.572,16.40,,,
